;EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
32	0003	28	07	12	41	00459	22.9	+26.4	0000	066.4	000.0	0000	0000	+00.00	00	00	0897	08
32	0004	28	07	12	41	00467	22.9	+26.4	0000	066.4	000.0	0000	0004	+00.00	00	00	0895	08
32	0005	28	07	12	42	00471	22.9	+26.4	0000	066.4	000.0	0000	0009	+00.00	00	00	0895	08
32	0006	28	07	12	42	00488	22.8	+26.5	0000	066.3	000.0	0027	0014	+01.63	02	00	0897	08
32	0007	28	07	12	42	00492	22.9	+26.4	0000	066.4	000.0	0034	0019	+01.55	02	00	0897	08
32	0008	28	07	12	42	00504	22.9	+26.5	0000	066.3	000.0	0045	0024	+01.61	02	00	0895	08
32	0009	28	07	12	42	00499	22.9	+26.5	0000	066.3	000.0	0046	0028	+01.36	02	00	0897	08
32	0010	28	07	12	42	00488	22.9	+26.5	0000	066.2	000.0	0038	0033	+00.98	02	00	0895	08
32	0011	28	07	12	42	00487	22.9	+26.5	0000	066.2	000.0	0033	0038	+00.73	02	00	0895	08
32	0012	28	07	12	43	00498	22.9	+26.6	0000	066.2	000.0	0034	0043	+00.67	02	00	0895	08
32	0013	28	07	12	43	00508	22.9	+26.6	0000	066.2	000.0	0038	0048	+00.68	02	00	0895	08
32	0014	28	07	12	43	00513	23.0	+26.6	0000	066.1	000.0	0043	0052	+00.70	02	00	0897	08
32	0015	28	07	12	43	00516	23.0	+26.6	0000	066.1	000.0	0048	0057	+00.71	02	00	0895	08
32	0016	28	07	12	43	00540	23.0	+26.6	0000	066.1	000.0	0059	0062	+00.81	02	00	0895	08
33	0001	28	07	12	44	00569	23.0	+26.7	0000	065.5	000.0	0000	0000	+00.00	02	00	0895	08
33	0002	28	07	12	45	00580	23.0	+26.7	0000	065.5	000.0	0000	0004	+00.00	02	00	0895	08
33	0003	28	07	12	45	00585	23.0	+26.8	0000	065.5	000.0	0000	0009	+00.00	02	00	0895	08
33	0004	28	07	12	45	00586	23.0	+26.8	0000	065.5	000.0	0016	0014	+01.00	02	00	0895	08
33	0005	28	07	12	45	00584	23.0	+26.8	0000	065.5	000.0	0014	0019	+00.64	02	00	0895	08
33	0006	28	07	12	45	00593	23.0	+26.8	0000	065.5	000.0	0019	0024	+00.68	02	00	0895	08
33	0007	28	07	12	45	00600	23.0	+26.8	0000	065.5	000.0	0025	0028	+00.74	02	00	0897	08
33	0008	28	07	12	45	00606	23.0	+26.8	0000	065.5	000.0	0032	0033	+00.81	02	00	0895	08
33	0009	28	07	12	46	00609	23.1	+26.8	0000	065.5	000.0	0037	0038	+00.82	02	00	0895	08
33	0010	28	07	12	46	00610	23.1	+26.8	0000	065.5	000.0	0040	0043	+00.79	02	00	0895	08
33	0011	28	07	12	46	00602	23.2	+26.8	0000	065.5	000.0	0038	0048	+00.67	02	00	0895	08
33	0012	28	07	12	46	00612	23.2	+26.8	0000	065.5	000.0	0040	0052	+00.65	02	00	0895	08
33	0013	28	07	12	46	00617	23.0	+26.9	0000	065.5	000.0	0043	0057	+00.64	02	00	0895	08
33	0014	28	07	12	46	00615	23.0	+26.9	0000	065.5	000.0	0044	0062	+00.60	02	00	0895	08
34	0001	28	07	12	48	00600	22.9	+27.0	0000	064.2	000.0	0000	0000	+00.00	02	00	0895	08
34	0002	28	07	12	48	00610	22.9	+27.0	0000	064.2	000.0	0000	0004	+00.00	02	00	0895	08
34	0003	28	07	12	48	00613	22.9	+27.0	0000	064.2	000.0	0000	0009	+00.00	02	00	0897	08
34	0004	28	07	12	48	00629	22.9	+27.0	0000	064.2	000.0	0027	0014	+01.62	02	00	0895	08
34	0005	28	07	12	49	00637	22.9	+27.0	0000	064.2	000.0	0037	0019	+01.67	02	00	0895	08
34	0006	28	07	12	49	00644	22.9	+27.0	0000	064.2	000.0	0045	0024	+01.62	02	00	0895	08
34	0007	28	07	12	49	00650	22.9	+27.0	0000	064.2	000.0	0051	0028	+01.53	02	00	0895	08
35	0001	28	07	12	50	00672	23.2	+27.1	0000	064.6	000.0	0000	0000	+00.00	02	00	0895	08
35	0002	28	07	12	51	00677	23.2	+27.1	0000	064.6	000.0	0000	0004	+00.00	02	00	0897	08
35	0003	28	07	12	51	00674	23.2	+27.1	0000	064.6	000.0	0000	0009	+00.00	02	00	0895	08
35	0004	28	07	12	51	00682	23.3	+27.2	0000	064.6	000.0	0008	0014	+00.50	02	00	0897	08
35	0005	28	07	12	51	00688	23.1	+27.2	0000	064.5	000.0	0014	0019	+00.65	02	00	0895	08
35	0006	28	07	12	51	00677	23.1	+27.2	0000	064.5	000.0	0009	0024	+00.33	02	00	0897	08
35	0007	28	07	12	51	00686	23.1	+27.2	0000	064.5	000.0	0011	0028	+00.35	02	00	0895	08
35	0008	28	07	12	52	00693	23.1	+27.2	0000	064.5	000.0	0017	0033	+00.43	02	00	0895	08
35	0009	28	07	12	52	00682	23.1	+27.2	0000	064.4	000.0	0014	0038	+00.32	02	00	0895	08
35	0010	28	07	12	52	00688	23.1	+27.2	0000	064.4	000.0	0015	0043	+00.30	02	00	0895	08
35	0011	28	07	12	52	00695	23.1	+27.2	0000	064.4	000.0	0018	0048	+00.33	02	00	0895	08
35	0012	28	07	12	52	00702	23.2	+27.2	0000	064.3	000.0	0023	0052	+00.38	02	00	0897	08
35	0013	28	07	12	52	00702	23.2	+27.2	0000	064.3	000.0	0027	0057	+00.40	02	00	0897	08
