
Date/Time,Temp(C),RH(%),Dew Point(C), Impedance(ohm)

Date/Time,Temp(C),RH(%),Dew Point(C), Impedance(ohm)

Date/Time,Temp(C),RH(%),Dew Point(C), Impedance(ohm)

Date/Time,Temp(C),RH(%),Dew Point(C), Impedance(ohm)

Date/Time,Temp(C),RH(%),Dew Point(C), Impedance(ohm)
10/29/21 10:01:00,8.62,68.58,3.16,17437.90,17437.90,17437.90,17437.90,17437.90,17437.90,17252.81,17437.90
10/29/21 11:01:00,14.10,53.32,4.74,2684.20,102.59,173.87,64.10,3045.90,61.73,107.41,703.65
10/29/21 12:01:00,9.76,72.57,5.06,1834.04,88.95,155.18,62.91,2631.32,62.36,105.04,537.39
10/29/21 13:01:00,9.68,73.50,5.17,1392.40,77.52,141.10,62.82,2307.42,62.27,101.81,437.60
10/29/21 14:01:00,9.31,76.79,5.44,1411.95,65.68,134.49,62.91,2047.39,61.73,87.81,380.72
10/29/21 15:01:00,9.66,76.32,5.69,1232.92,65.58,131.06,62.82,1966.53,61.73,85.04,360.93
10/29/21 16:01:00,9.80,76.87,5.93,1104.11,65.12,126.08,62.55,1876.47,61.82,83.71,339.02
10/29/21 17:01:00,9.68,77.17,5.87,963.45,65.30,120.24,62.46,1766.83,62.18,82.70,307.44
10/30/21 00:01:00,8.75,71.36,3.85,644.57,65.49,98.63,63.28,1485.00,62.36,81.29,225.98
10/31/21 00:01:00,7.72,60.12,0.46,524.66,65.58,99.50,63.55,1444.92,62.18,96.47,195.84
10/31/21 01:01:00,7.63,67.12,1.91,526.83,65.68,100.27,63.46,1456.19,62.73,97.00,193.56
10/31/21 02:01:00,7.20,70.89,2.27,526.83,66.14,100.38,63.28,1456.19,62.82,97.55,187.94
10/31/21 03:01:00,6.87,71.05,1.98,526.83,65.95,98.96,63.92,1454.30,62.55,98.09,181.19
10/31/21 04:01:00,6.76,67.35,1.13,526.83,66.14,98.52,63.46,1475.29,62.82,98.85,181.66
10/31/21 05:01:00,6.80,60.75,-0.26,534.29,65.86,98.74,64.20,1502.74,62.82,99.50,185.40
10/31/21 06:01:00,6.94,55.47,-1.38,546.86,65.86,100.05,66.05,1533.08,62.55,100.71,191.13
10/31/21 07:01:00,7.18,55.12,-1.24,556.99,66.14,101.70,66.70,1555.98,62.46,101.70,194.53
10/31/21 08:01:00,6.76,59.46,-0.59,563.10,65.68,103.59,66.79,1555.98,62.55,102.25,196.17
10/31/21 09:01:00,6.46,61.42,-0.43,563.10,65.58,104.93,68.20,1555.98,63.00,103.25,192.10
10/31/21 10:01:00,7.02,59.13,-0.43,575.55,66.05,106.95,67.45,1599.09,62.82,103.36,198.14
10/31/21 11:01:00,7.00,64.87,0.84,580.44,65.03,108.43,67.82,1599.09,62.82,103.92,200.97
10/31/21 12:01:00,7.10,73.09,2.60,579.46,64.93,108.66,66.98,1588.13,62.82,103.14,201.30
10/31/21 13:01:00,7.31,76.51,3.45,578.48,65.21,131.57,66.33,1570.84,62.55,101.81,202.31
10/31/21 14:01:00,7.45,75.14,3.33,576.53,64.84,133.34,65.68,1555.98,62.82,102.25,204.50
